Date,Open,High,Low,Close,Adj Close,Volume
2016-05-23,82.18,82.360001,81.849998,82.050003,72.503029,2744000
2016-05-24,82.559998,83.209999,82.260002,83.07,73.40435,2998500
2016-05-25,83.290001,83.290001,82.25,83.07,73.40435,3250000
2016-05-26,82.910004,83.480003,82.720001,83.230003,73.545731,3053400
2016-05-27,83.370003,84.029999,83.290001,83.68,73.94336700000001,3006900
2016-05-31,83.550003,83.91999799999999,83.160004,83.66999799999999,73.934525,4810900
2016-06-01,83.379997,83.949997,83.300003,83.739998,73.996391,4417500
2016-06-02,83.5,84.199997,83.290001,84.16999799999999,74.37635,8043500
2016-06-03,84.980003,85.239998,84.099998,84.510002,74.676804,4295200
2016-06-06,84.589996,84.769997,83.41999799999999,83.860001,74.102425,3231900
2016-06-07,84.230003,84.620003,83.989998,84.370003,74.553093,2424600
2016-06-08,84.309998,84.980003,84.050003,84.910004,75.03025799999999,3099000
2016-06-09,84.910004,85.260002,84.610001,85.099998,75.198151,4132700
2016-06-10,84.779999,85.019997,84.339996,84.699997,74.84468100000001,2538400
2016-06-13,84.730003,85.360001,84.620003,84.720001,74.862358,3250300
2016-06-14,84.720001,85.019997,84.190002,84.5,74.667961,3437300
2016-06-15,84.690002,85.589996,84.57,85.300003,75.37487,2829400
2016-06-16,85.18,85.809998,84.760002,85.779999,75.79903399999999,2827100
2016-06-17,85.83000200000001,85.83000200000001,84.980003,85.639999,75.675308,4408400
2016-06-20,86.050003,86.790001,85.650002,85.760002,75.78134200000001,3987000
2016-06-21,85.309998,85.57,84.93,85.32,76.070229,3614700
2016-06-22,85.5,85.510002,84.980003,85.190002,75.954308,3994500
2016-06-23,85.58000200000001,85.940002,85.440002,85.620003,76.33770799999999,1672700
2016-06-24,84.129997,85.720001,83.540001,84.860001,75.660095,5661700
2016-06-27,84.519997,85.050003,83.709999,84.91999799999999,75.713585,4769800
2016-06-28,85.470001,86.720001,85.150002,86.709999,77.309525,5128700
2016-06-29,87.120003,87.879997,87.010002,87.760002,78.245705,4395600
2016-06-30,87.989998,88.66999799999999,87.269997,88.66999799999999,79.057037,6555800
2016-07-01,88.970001,89.400002,88.440002,88.699997,79.083771,4731800
2016-07-05,88.709999,89.68,88.599998,89.68,79.95755,3808400
2016-07-06,89.550003,89.650002,88.849998,89.290001,79.609833,4577200
2016-07-07,89.199997,89.260002,87.879997,88.370003,78.78958100000001,5342000
2016-07-08,88.860001,89.839996,88.75,89.800003,80.064545,2663400
2016-07-11,89.870003,90.589996,89.33000200000001,90.400002,80.59947199999999,3381400
2016-07-12,90.410004,90.540001,89.68,90.389999,80.59056899999999,3727600
2016-07-13,90.599998,90.889999,90.190002,90.889999,81.036362,4902800
2016-07-14,90.610001,90.839996,89.870003,90.08000200000001,80.314178,3060500
2016-07-15,90.07,90.18,89.459999,90.110001,80.34092700000001,3345600
2016-07-18,90.239998,90.379997,90.0,90.349998,80.554901,2699700
2016-07-19,90.349998,90.790001,89.93,90.790001,80.94720500000001,1916500
2016-07-20,90.949997,91.040001,90.510002,90.800003,80.956123,2100600
2016-07-21,90.599998,90.980003,90.199997,90.980003,81.1166,2179600
2016-07-22,90.889999,92.050003,90.699997,91.779999,81.829872,2482900
2016-07-25,91.809998,92.139999,91.300003,91.610001,81.67830699999999,2374700
2016-07-26,91.690002,91.970001,90.940002,91.160004,81.27709200000001,2460200
2016-07-27,91.139999,91.139999,89.699997,90.449997,80.644058,3935200
2016-07-28,90.309998,91.650002,90.099998,91.290001,81.39299,2853100
2016-07-29,91.540001,92.91999799999999,91.199997,92.449997,82.427238,3502600
2016-08-01,92.33000200000001,92.75,92.260002,92.650002,82.60556,3335100
2016-08-02,92.379997,92.540001,91.0,91.16999799999999,81.285995,3877100
2016-08-03,90.849998,91.230003,90.150002,90.639999,80.81345400000001,3829400
2016-08-04,90.75,90.91999799999999,90.110001,90.269997,80.483566,2649700
2016-08-05,90.32,90.599998,90.010002,90.33000200000001,80.537071,2941600
2016-08-08,90.269997,90.910004,90.110001,90.489998,80.67971800000001,2240200
2016-08-09,90.639999,90.980003,89.940002,90.980003,81.1166,3474300
2016-08-10,91.239998,91.400002,90.589996,90.879997,81.027451,5302900
2016-08-11,90.849998,90.889999,89.370003,89.849998,80.10910799999999,4788300
2016-08-12,90.050003,91.059998,89.779999,90.230003,80.447914,2972100
2016-08-15,90.370003,90.68,90.099998,90.139999,80.36766800000001,2961400
2016-08-16,89.839996,89.949997,88.940002,89.059998,79.40475500000001,4166800
2016-08-17,88.980003,89.489998,88.370003,89.41999799999999,79.725723,5192000
2016-08-18,89.290001,89.690002,88.66999799999999,89.089996,79.431503,4074800
2016-08-19,88.970001,89.07,88.260002,88.519997,78.923294,3284900
2016-08-22,88.75,89.07,88.540001,89.0,79.35127299999999,3671000
2016-08-23,89.309998,89.510002,89.010002,89.050003,79.395844,6526100
2016-08-24,89.279999,89.290001,88.160004,88.660004,79.04813399999999,6064800
2016-08-25,88.900002,89.599998,88.620003,89.059998,79.40475500000001,3219700
2016-08-26,89.220001,89.769997,87.589996,88.18,78.620171,5844000
2016-08-29,88.370003,89.33000200000001,88.360001,89.050003,79.395844,3318600
2016-08-30,89.239998,89.349998,88.099998,88.879997,79.244263,3431900
2016-08-31,88.790001,89.269997,88.470001,88.970001,79.32450899999999,5003000
2016-09-01,89.07,89.099998,88.300003,88.75,79.128365,4098000
2016-09-02,89.269997,90.610001,89.129997,89.519997,79.814888,4439500
2016-09-06,89.910004,90.220001,89.120003,90.209999,80.430092,3874300
2016-09-07,90.089996,90.800003,89.790001,90.75,80.911537,2874200
2016-09-08,90.349998,90.5,89.550003,89.639999,79.921883,3123900
2016-09-09,88.620003,88.870003,86.07,86.089996,76.756744,7589300
2016-09-12,85.91999799999999,87.510002,85.660004,87.110001,77.66615300000001,7088200
2016-09-13,86.08000200000001,86.110001,84.150002,84.339996,75.716248,7223000
2016-09-14,84.559998,85.08000200000001,84.269997,84.610001,75.958656,4781900
2016-09-15,84.58000200000001,85.059998,84.129997,84.93,76.24593399999999,4320500
2016-09-16,84.83000200000001,85.050003,84.349998,84.970001,76.281837,6251400
2016-09-19,85.25,85.839996,85.160004,85.739998,76.973114,3407700
2016-09-20,86.139999,86.25,85.610001,85.610001,76.8564,3905800
2016-09-21,85.760002,86.839996,84.599998,86.709999,77.843925,6905000
2016-09-22,87.510002,88.339996,87.290001,88.260002,79.235435,3575700
2016-09-23,88.019997,88.83000200000001,87.290001,88.529999,79.47782099999999,4722300
2016-09-26,88.279999,88.949997,88.0,88.739998,79.666344,3440200
2016-09-27,89.029999,89.029999,87.650002,87.800003,78.822479,6479800
2016-09-28,87.940002,88.589996,87.66999799999999,88.519997,79.46884200000001,2676300
2016-09-29,88.220001,88.279999,87.08000200000001,87.339996,78.409492,4662800
2016-09-30,87.650002,88.190002,86.730003,86.739998,77.87085,6718600
2016-10-03,86.010002,86.290001,84.949997,85.120003,76.416504,10473900
2016-10-04,85.0,85.040001,83.459999,83.959999,75.375114,7415500
2016-10-05,84.120003,84.550003,82.16999799999999,82.260002,73.84893000000001,8125200
2016-10-06,81.849998,82.889999,81.110001,82.290001,73.875862,6760300
2016-10-07,82.800003,83.629997,81.769997,82.150002,73.750175,6036800
2016-10-10,82.150002,83.010002,82.150002,82.660004,74.208046,2818300
2016-10-11,82.550003,82.739998,81.639999,81.860001,73.489838,4306600
2016-10-12,81.989998,82.91999799999999,81.860001,82.800003,74.33371,3492600
2016-10-13,82.470001,83.589996,82.220001,83.449997,74.917236,3633600
2016-10-14,83.300003,83.989998,82.910004,83.08000200000001,74.585091,3187500
2016-10-17,83.150002,83.769997,83.08000200000001,83.260002,74.746674,3154000
2016-10-18,83.809998,84.279999,83.510002,83.790001,75.222488,2533200
2016-10-19,83.809998,84.089996,83.339996,83.970001,75.38409399999999,2871000
2016-10-20,83.959999,84.33000200000001,83.32,83.779999,75.213509,3261100
2016-10-21,83.379997,83.690002,83.099998,83.470001,74.935211,3193800
2016-10-24,83.849998,84.510002,83.33000200000001,83.660004,75.105789,3948800
2016-10-25,83.32,83.620003,83.059998,83.510002,74.971115,3161400
2016-10-26,83.190002,83.309998,81.849998,82.41999799999999,73.99256899999999,4093100
2016-10-27,82.269997,82.309998,80.040001,80.260002,72.053436,5969300
2016-10-28,80.389999,81.139999,80.150002,80.449997,72.224007,4819100
2016-10-31,80.800003,81.910004,80.470001,81.760002,73.400063,5009700
2016-11-01,81.400002,81.470001,79.699997,79.980003,71.802071,7465200
2016-11-02,79.849998,80.08000200000001,78.790001,78.809998,70.75168599999999,7847600
2016-11-03,78.870003,79.010002,78.18,78.199997,70.20405600000001,7221900
2016-11-04,78.389999,79.08000200000001,78.059998,78.82,70.760674,4432600
2016-11-07,79.410004,80.230003,79.410004,80.199997,71.999557,5860500
2016-11-08,80.18,80.889999,79.800003,80.620003,72.37661,3937000
2016-11-09,78.699997,80.0,77.769997,79.400002,71.281357,10045800
2016-11-10,79.300003,79.339996,76.980003,78.07,70.08736400000001,13504700
2016-11-11,78.0,79.510002,77.949997,78.540001,70.509293,5044900
2016-11-14,78.400002,80.610001,78.019997,80.400002,72.17913100000001,6755200
2016-11-15,80.66999799999999,81.339996,79.18,79.730003,71.577621,7719900
2016-11-16,79.760002,80.0,78.900002,79.5,71.37114,10337100
2016-11-17,79.459999,80.059998,78.58000200000001,78.690002,70.643967,3645200
2016-11-18,78.790001,79.129997,78.41999799999999,78.91999799999999,70.85045600000001,3655600
2016-11-21,79.18,79.75,78.589996,78.68,70.634987,3488200
2016-11-22,79.07,80.099998,78.83000200000001,80.059998,71.873878,4226700
2016-11-23,79.360001,79.800003,79.040001,79.720001,71.56864200000001,6542100
2016-11-25,79.800003,80.629997,79.739998,80.18,71.98162099999999,1904500
2016-11-28,80.18,81.08000200000001,80.129997,80.550003,72.31378199999999,4065700
2016-11-29,80.629997,81.730003,80.57,81.32,73.005051,3754200
2016-11-30,80.550003,81.050003,80.0,80.389999,72.170135,6826400
2016-12-01,79.91999799999999,80.209999,78.760002,79.209999,71.11077900000001,6361900
2016-12-02,79.559998,80.83000200000001,79.43,80.0,71.820015,3695900
